source,target,value
Dilbert,Boss,1546
Dilbert,Dogbert,1333
Dilbert,Wally,1033
Boss,Wally,767
Dilbert,Alice,573
Boss,Alice,508
Wally,Alice,444
Boss,Dogbert,252
Boss,Asok,170
Wally,Asok,167
Dilbert,Asok,162
Dilbert,CEO,155
Boss,Carol,142
Dogbert,Ratbert,127
Boss,Catbert,124
Dilbert,Ratbert,117
Dilbert,Catbert,115
Wally,Dogbert,108
Dilbert,Ted,106
Boss,CEO,106
Dogbert,CEO,104
Alice,Asok,99
Dilbert,Elbonian,97
Dilbert,Carol,96
Wally,Catbert,93
Boss,Ted,82
Dogbert,Bob,79
Alice,Dogbert,76
Dilbert,Bob,73
Dilbert,Coworker,69
Wally,Ted,68
Dilbert,Woman,65
Dilbert,Tina,64
Alice,Catbert,59
Alice,Ted,50
Dilbert,doctor,49
Wally,Carol,49
Bob,Dawn,42
Wally,CEO,41
Boss,Tina,38
Alice,Carol,34
Wally,Coworker,33
Dilbert,Phil,32
Boss,Elbonian,32
Dogbert,Elbonian,32
Asok,Catbert,29
Boss,Ratbert,28
Alice,CEO,27
Wally,Tina,24
Dogbert,doctor,22
Ratbert,Bob,22
Dilbert,Liz,21
Wally,Elbonian,21
Dilbert,Dawn,20
Dogbert,Dawn,20
Asok,CEO,19
Dogbert,Asok,18
Asok,Carol,18
Boss,doctor,17
Wally,Ratbert,17
Alice,Tina,17
Dilbert,Topper,16
Dogbert,Ted,16
Dilbert,Mordac,15
Boss,Coworker,14
Dogbert,Phil,14
Ted,Catbert,14
Catbert,CEO,14
Alice,Elbonian,13
Alice,Coworker,13
Ted,Carol,13
Boss,Robot,12
Wally,doctor,12
Wally,Woman,12
Dogbert,Catbert,12
Dogbert,Tina,12
Boss,Bob,10
Alice,Ratbert,10
Alice,Bob,10
Dilbert,Dilmom,10
